emp_no,first_name,last_name,salary,salary_from_dt,title
10001,Georgi,Facello,60117,1986-06-26,Senior Engineer
10150,Zhenbing,Perng,70122,1986-11-16,Senior Engineer
10153,Heekeun,Majewski,54246,2000-01-08,Assistant Engineer
10157,Nigel,Aloisi,48770,1997-12-10,Senior Engineer
10198,Pranav,Furedi,44076,1985-08-31,Senior Engineer
10215,Xiaobin,Duclos,43944,1991-11-23,Senior Staff
10224,Leon,Trogemann,40000,1988-01-09,Senior Engineer
10233,Lein,Vendrig,40000,1994-04-29,Senior Staff
10258,Basil,Ishibashi,66280,1985-05-17,Senior Engineer
10272,Yishai,Cannane,58070,1997-10-23,Staff
10282,Hercules,Benzmuller,40000,1996-05-02,Engineer
10283,Kauko,Birjandi,40000,1988-05-25,Senior Engineer
10326,Masali,Czap,40000,1998-09-02,Staff
10340,Djelloul,Laventhal,68132,1988-03-30,Senior Staff
10347,Pradeep,Kaminger,42199,1998-02-20,Staff
10355,Satyanarayana,Cochrane,70434,1996-01-26,Staff
10356,Vasilis,Standera,45376,1995-06-26,Senior Staff
10364,Nakhoon,Dengi,51401,1985-11-14,Senior Engineer
10372,Anneli,Frijda,54505,1985-07-30,Technique Leader
10387,Parto,Wrigley,61374,1994-01-07,Senior Staff
10396,Sibyl,Rahier,40393,1986-01-11,Senior Engineer
10402,Volkmar,Ebeling,40000,1987-01-02,Technique Leader
10404,Prodip,Rosti,51647,1988-08-28,Senior Engineer
10426,Arunas,Luce,65757,1985-07-06,Technique Leader
10429,Martien,Improta,40000,1988-09-23,Senior Engineer
10432,Hisao,Tiemann,40000,1990-08-13,Senior Staff
10451,Bodh,Ranta,46275,1988-03-12,Senior Engineer
10453,Tsvetan,Matzel,40000,1985-04-02,Senior Staff
10463,Ung,Zaiane,66480,1994-02-17,Staff
10486,Amstein,Kossowski,71692,1987-10-08,Senior Engineer
10494,Yakkov,Servieres,50094,1991-12-18,Senior Engineer
10504,Xiong,Varker,43931,1999-10-19,Staff
10512,Udi,Gihr,40000,1989-11-28,Senior Staff
10522,Marke,Cesareni,40000,1986-12-12,Senior Staff
10548,Ramalingam,Gunderson,90631,1986-07-04,Senior Staff
10564,Jianhao,Thisen,46660,1995-11-23,Senior Engineer
10623,Aleksander,Danlos,60268,1992-01-15,Senior Engineer
10628,Krisda,Krogh,41650,1987-03-14,Senior Engineer
10631,Inderjeet,Chaudhuri,40000,1994-10-18,Engineer
10642,Hirochika,Narlikar,40000,1998-10-05,Engineer
10653,Otmar,Feinberg,40000,1987-04-30,Senior Engineer
10671,Parviz,Rebaine,74037,1995-09-14,Senior Staff
10676,Valeri,Danley,58226,1999-09-04,Engineer
10693,Berhard,Daescu,40000,1986-01-08,Senior Staff
10702,Bader,Szemeredi,46581,1991-01-14,Senior Engineer
10718,Adib,Rullman,75473,1988-07-21,Senior Engineer
10726,Zita,Minakawa,46315,1992-02-25,Senior Engineer
10734,Sachar,Erdi,47377,1995-12-19,Engineer
10745,Poorav,Ranze,40000,1988-01-23,Senior Engineer
10749,King,Brendel,60829,1985-09-26,Senior Engineer
10767,Monique,Doering,40651,1997-07-15,Staff
10768,Ishfaq,Candan,65717,1985-07-04,Senior Engineer
10778,Selwyn,Merey,64996,1986-07-04,Senior Staff
10791,Tadahiko,Sgarro,40000,1988-07-30,Senior Engineer
10795,Supot,Naudin,84206,1993-05-03,Senior Staff
10808,Chenxi,Leijenhorst,40000,1987-03-07,Senior Engineer
10835,Tomoyuki,Kermarrec,40000,1995-08-22,Engineer
10836,Jianhua,Leivant,65502,1987-08-10,Senior Staff
10844,Dipayan,Koprowski,40000,1997-04-25,Engineer
10847,Theirry,Danley,40000,1986-07-25,Senior Staff
10848,Fen,Bratsberg,50475,1985-04-20,Senior Engineer
10878,Lakshmi,Deville,72102,1997-04-25,Staff
10879,Muzhong,Chleq,65651,1985-08-15,Senior Engineer
10883,Shimshon,Champarnaud,40000,1996-12-28,Engineer
10909,Georgi,Atchley,80935,1993-12-26,Senior Engineer
10921,Mara,Bahi,72601,1986-07-27,Senior Engineer
10924,Hironoby,Atchley,84783,1988-08-14,Senior Staff
10927,Gal,Scallan,51819,1986-09-12,Senior Staff
10936,Mountaz,Schicker,40000,1990-05-09,Senior Staff
10943,Berna,Skafidas,45890,1993-05-22,Senior Engineer
10965,Eckart,Braunschweig,61654,1986-07-29,Senior Staff
10969,Premal,Noriega,40000,1994-05-12,Senior Engineer
10974,Muneo,Papsdorf,56005,1999-05-17,Senior Engineer
10986,Masako,Schiper,43900,1985-10-11,Technique Leader
10988,Chinya,Deyuan,54174,1985-06-19,Senior Engineer
10989,Sumali,Candan,46406,1985-07-20,Senior Staff
10990,Shin,Foote,40000,1990-08-06,Technique Leader
11009,Alper,Axelband,75111,1986-09-09,Senior Staff
11012,Taegyun,Speckmann,72092,1996-07-06,Staff
11019,Leon,Huttel,69387,1992-05-24,Senior Engineer
11021,Srinidhi,Henders,62670,1998-02-02,Staff
11027,Remzi,Cappello,40000,1986-05-07,Senior Engineer
11031,Ottavia,Walstra,71654,1985-10-24,Senior Staff
11037,Lansing,Maliniak,40000,1988-01-28,Senior Engineer
11038,Jinya,Beidas,44993,1985-07-15,Senior Staff
11042,Gou,Breugel,40000,1993-06-21,Senior Engineer
11048,Jaques,Demke,65697,1999-05-27,Senior Staff
11050,Elvis,Katiyar,52251,1986-05-06,Senior Staff
11051,Przemyslawa,Erol,40000,1991-03-27,Senior Engineer
11070,Adib,Raney,40000,1985-07-24,Senior Engineer
11081,Barry,Boyle,65686,1985-06-17,Senior Staff
11085,Hailing,Thummel,66437,1996-02-10,Senior Engineer
11100,Berna,Cochrane,40000,1986-10-13,Senior Staff
11106,Aris,Iwayama,71446,1985-08-31,Senior Engineer
11112,Boaz,Mukaidono,40000,1995-04-28,Staff
11113,Shahab,Peng,66401,1985-11-30,Senior Staff
11121,Vugranam,Kakkad,40000,1992-10-31,Senior Engineer
11133,Nalini,Azulay,40000,1994-03-06,Technique Leader
11134,Sachar,Rajcani,58731,1993-05-19,Senior Engineer
11137,Hugh,Luca,40000,1995-03-16,Engineer
11139,Bogdan,Homond,63596,1990-05-11,Senior Staff
11146,Ishfaq,Masand,96019,1991-08-22,Senior Staff
11148,Zhanqiu,Botman,56344,1990-02-08,Senior Staff
11162,Kauko,Narlikar,69873,1985-03-28,Senior Engineer
11180,Mitsuyuki,Bojadziev,40000,1986-06-11,Senior Engineer
11197,Tadahiro,Fordan,88741,1989-09-12,Senior Staff
11204,Diederik,Covnot,40000,1985-09-18,Technique Leader
11207,Saeed,Gips,49728,1999-01-31,Engineer
11208,Saniya,Valtorta,83660,1994-11-17,Technique Leader
11211,Yurij,Rissland,72668,1985-09-17,Senior Engineer
11217,Kellie,Mawatari,40000,1990-03-11,Senior Engineer
11232,Hidefumi,Crelier,43863,1994-08-02,Senior Staff
11240,Kiam,Condotta,61739,1989-01-06,Engineer
11249,Randi,Cyre,43324,1986-09-22,Engineer
11251,Bezalel,Chinal,69432,1986-06-15,Senior Staff
11268,Aimee,Petersohn,40000,1987-10-25,Senior Engineer
11275,Hitomi,Eppinger,58382,1989-04-25,Senior Engineer
11290,Visit,Dredge,65034,1999-05-13,Engineer
11295,Abdelkader,Lanzelotte,66622,1985-05-15,Senior Staff
11319,Pranas,Marrakchi,40000,1998-11-01,Assistant Engineer
11320,Atilio,McAlpine,45118,1990-04-06,Senior Staff
11322,Nathalie,Pocchiola,43021,1985-07-07,Senior Engineer
11324,Kauko,Billingsley,54288,1985-08-29,Senior Engineer
11338,Kwangsub,Hanratty,82210,1998-10-28,Senior Staff
11339,Flemming,Massonet,40000,1989-12-19,Senior Engineer
11347,Anneli,Jonsson,41524,1986-04-20,Senior Engineer
11365,Toshimi,Shinomoto,56463,1997-12-18,Engineer
11376,Valery,Suomi,46964,1986-03-14,Senior Staff
11380,Kenroku,Pelc,53345,1991-04-19,Senior Engineer
11385,Shiv,Ullian,40000,1999-08-08,Engineer
11386,Alselm,Assaf,47726,1987-11-30,Senior Engineer
11393,Junsik,Junot,40000,1985-04-30,Senior Engineer
11398,Oscar,Peir,44625,1994-09-07,Senior Staff
11404,Bedrich,Borovoy,42907,1990-09-25,Technique Leader
11415,Sanjiv,Anido,40000,1996-12-07,Engineer
11421,Josyula,Msuda,52416,1986-09-02,Senior Engineer
11441,Marlo,Aingworth,67352,1987-03-27,Senior Staff
11449,Kotesh,Asser,61434,1995-02-03,Senior Engineer
11459,Duke,Suomi,40000,1986-05-03,Senior Staff
11469,Guttorm,Giaccio,44625,1994-09-08,Senior Engineer
11506,Rance,Picel,89747,1996-04-08,Staff
11509,Aleksander,Feldhoffer,40000,1987-11-12,Senior Engineer
11513,Otmar,Mahnke,82525,1992-08-25,Senior Staff
11515,Ulf,Basawa,70182,1998-09-21,Staff
11518,Jinxi,Oxman,40000,1994-09-22,Senior Staff
11524,Xiadong,Standera,41081,1996-07-05,Senior Engineer
11527,Alagu,Boyle,60212,1999-01-28,Staff
11528,Zito,Dolinsky,44026,1987-06-15,Technique Leader
11537,DAIDA,Pehl,96023,1986-07-06,Senior Staff
11554,Subhash,Taubenfeld,46065,1998-07-15,Staff
11555,Kotesh,Perfilyeva,40000,1986-10-14,Senior Staff
11567,Teiji,Mitzlaff,86261,1988-02-03,Senior Staff
11568,Martins,Fujisaki,54673,1992-03-13,Senior Engineer
11603,Herb,Swen,69180,1985-04-13,Senior Staff
11607,Tomokazu,Foong,49584,1995-04-19,Engineer
11615,Shem,Isaak,46591,1991-08-29,Senior Staff
11624,Adil,Gammage,42001,1989-07-15,Senior Engineer
11628,Fan,Malinowski,43966,1988-10-23,Senior Engineer
11640,Valeri,Coorg,52520,1988-09-26,Senior Engineer
11647,Magy,Nitsche,40000,1988-05-11,Senior Engineer
11660,Gill,Stenning,65758,1986-11-22,Senior Staff
11673,Henk,Felder,40000,1989-06-10,Technique Leader
11676,Valeri,Ferriere,43310,1998-07-15,Engineer
11681,Fumitake,Benzmuller,40000,1988-08-27,Senior Engineer
11684,Oksana,Gide,68753,1986-02-21,Senior Staff
11696,Dante,Rothe,51633,1985-10-23,Senior Staff
11732,Sanjoy,Ranft,40000,1996-12-22,Senior Engineer
11735,Amalendu,Picci,40000,1988-07-14,Senior Staff
11746,Koichi,Marrakchi,55951,1988-11-17,Senior Staff
11751,Jiafu,Emiris,40000,1988-11-03,Senior Staff
11764,Sanjay,Anick,64875,1991-12-16,Senior Engineer
11769,Chandrasekaran,Lampe,40000,1993-10-22,Senior Staff
11772,Gaurav,Penz,61295,1999-11-07,Engineer
11797,Chenxi,Thambidurai,88050,1988-08-30,Senior Staff
11810,Amabile,Bhattacharjee,41256,1992-01-05,Senior Engineer
11817,Niranjan,Markovitch,50638,1986-04-12,Senior Staff
11832,Arto,Zlotek,40000,1996-02-04,Engineer
11844,Shawna,Demeyer,78049,1988-01-27,Senior Engineer
11853,Zeljko,Kusakabe,61941,1988-11-17,Senior Staff
11857,Divier,Farrag,94805,1986-08-27,Senior Staff
11864,Pradeep,Kriebel,52517,1995-11-02,Staff
11871,Nalini,Sommen,67424,1993-10-13,Senior Engineer
11872,Cheong,Riexinger,43159,1994-02-12,Senior Staff
11894,Mitchel,Validov,56198,1988-06-22,Senior Engineer
11897,Cordelia,Setlzner,80049,1988-06-16,Senior Staff
11906,Hideo,Boguraev,81324,1999-02-07,Engineer
11915,Miomir,Mawatari,58042,1992-06-28,Senior Engineer
11931,Gunilla,Chiodo,73369,1991-01-13,Senior Staff
11933,Basil,Erman,56130,1987-06-13,Senior Engineer
11949,Martijn,Harbusch,40000,1985-03-11,Technique Leader
11983,Jaana,Hedayat,40000,1986-10-11,Senior Engineer
11993,Marit,Dalphin,56505,1996-10-22,Senior Staff
12011,Zhilian,Coorg,85833,1988-07-22,Senior Staff
12036,Mads,Ratzlaff,67143,1986-09-05,Senior Staff
12037,Arunas,Katzenelson,47805,1986-10-01,Senior Staff
12050,Yuchang,Tchuente,46704,1989-04-01,Engineer
12062,Margareta,Worfolk,44199,1996-01-04,Senior Staff
12069,Ayonca,Burnard,51928,1985-05-13,Senior Engineer
12070,Ger,Shokrollahi,50233,1988-11-14,Technique Leader
12076,Karlis,Siprelle,75381,1985-03-25,Senior Staff
12082,Xinan,Yamaashi,72118,1986-01-29,Senior Staff
12089,Bilhanan,Socorro,46288,1986-10-22,Senior Staff
12099,Nobuyoshi,Kuzuoka,104610,1994-02-15,Senior Staff
12112,Satyanarayana,Avouris,76538,1989-09-26,Senior Staff
12122,Satoru,Krone,46398,1987-07-24,Senior Engineer
12123,Xiahua,Syrzycki,64879,1987-07-18,Senior Staff
12125,Shounak,Erman,41215,1997-03-31,Engineer
12149,Suebskul,Grandbois,109934,1988-10-01,Senior Staff
12159,Shem,Perly,61210,1985-07-17,Senior Engineer
12165,Xiaobin,Maquelin,41951,1994-08-29,Senior Engineer
12183,Harngdar,Iisaku,40000,1998-04-04,Engineer
12192,Feiyu,Klyachko,41625,1986-09-02,Senior Engineer
12205,Sushant,Rossi,40000,1987-11-11,Senior Engineer
12206,Barton,Janetzko,40000,1985-03-27,Senior Engineer
12218,Yaghout,Strooper,40000,1991-03-12,Senior Engineer
12221,Vincent,Melter,56736,1985-09-16,Senior Engineer
12222,Abdelwaheb,Holburn,55840,1987-08-15,Senior Staff
12223,Niteen,Koyama,54459,1986-08-13,Senior Engineer
12247,Subbu,Penttonen,59183,1985-04-09,Technique Leader
12249,Eldridge,Sadowski,70099,1987-06-21,Senior Engineer
12256,Guadalupe,Reghbati,40000,1985-08-26,Senior Staff
12264,Mart,Pagter,51816,1998-01-09,Engineer
12270,Shakhar,Kornyak,52840,1989-08-19,Senior Staff
12272,Behnaam,Grandbois,43811,1987-12-08,Senior Staff
12308,Mototsugu,Cronau,58741,1985-08-11,Senior Staff
12311,Susanne,Lubachevsky,40000,1985-10-22,Senior Engineer
12327,DAIDA,Bruckman,67449,1986-10-16,Senior Engineer
12341,Rasiah,Luga,40000,1985-05-25,Senior Engineer
12343,Sorina,Slaats,52134,1988-08-25,Senior Staff
12365,Kamakshi,Bisiani,40000,1988-09-12,Senior Engineer
12373,Mooi,Driscoll,75986,1993-11-11,Senior Staff
12395,Sanjit,Felder,66909,1995-06-05,Senior Staff
12399,Mihalis,Luga,85582,1987-12-07,Senior Staff
12411,Shao,Ibel,97610,1986-08-17,Senior Staff
12413,Hugh,Gadepally,53179,1994-03-04,Senior Engineer
12417,Dannz,Spelt,67342,1998-02-02,Senior Engineer
12422,Berhard,Demos,71376,1993-06-07,Senior Staff
12454,Kerryn,Farris,41347,1998-12-18,Staff
12464,Shai,Milicic,50448,1998-06-01,Staff
12475,Filipe,Roison,40000,1987-04-26,Senior Engineer
12487,Mona,Reghbati,40000,1998-12-07,Senior Staff
12489,Arnould,Munck,63306,1986-04-11,Senior Engineer
12490,Jackson,Muchinsky,40000,1994-05-09,Senior Engineer
12497,Stein,Penz,81191,1989-09-25,Senior Staff
12501,Morrie,Matheson,76082,1986-06-05,Senior Staff
12504,Adly,Rosaz,40000,1997-08-14,Engineer
12514,Tomofumi,Melter,54241,1999-11-13,Engineer
12528,Conor,Cincotta,40000,1988-09-24,Senior Staff
12534,Yongmao,Gerlach,66715,1985-08-14,Senior Engineer
12541,Shih,Nanard,93105,1988-08-31,Senior Staff
12542,Kazuhide,Bouloucos,44176,1987-09-12,Senior Staff
12551,Jeane,Tzvieli,40000,1987-12-04,Senior Engineer
12553,Aral,Vesna,40000,1987-02-28,Senior Staff
12557,Stafford,Kopetz,41840,1988-03-20,Senior Engineer
12589,Anoosh,Chleq,59441,1988-09-08,Senior Engineer
12596,Breannda,Roisin,40000,1996-09-29,Senior Staff
12601,Ghassan,Simkin,41714,1992-07-09,Senior Engineer
12608,Nectarios,Mondadori,40000,1991-02-22,Senior Staff
12635,Xinyu,Restivo,40000,1995-02-03,Senior Engineer
12638,Yuqun,Seiwald,56677,1999-04-29,Engineer
12642,Suebskul,Gips,68271,1996-10-28,Senior Staff
12651,Pragnesh,Bael,75150,1988-01-27,Senior Staff
12662,Leucio,Alvarado,69016,1985-08-27,Engineer
12663,Nobuyoshi,Stellhorn,49966,1986-09-29,Technique Leader
12664,Zhonghua,Parveen,40000,1999-08-04,Staff
12689,Luerbio,Boudaillier,59689,1992-11-23,Senior Engineer
12691,Oddvar,Gils,48493,1992-08-25,Senior Engineer
12697,Uri,Brizzi,40000,1986-07-11,Senior Staff
12709,Ronghao,Botman,45510,1995-02-26,Senior Engineer
12717,Tzu,Jiafu,53194,1999-10-20,Staff
12722,Elliott,Cheshire,62325,1985-03-29,Senior Staff
12726,Fumitake,Panwar,61177,1994-05-19,Senior Engineer
12729,Nahla,Rahier,51796,1992-10-15,Senior Engineer
12731,Yongmao,Waymire,40000,1988-04-05,Senior Staff
12732,Mara,Takanami,74436,1988-04-06,Senior Staff
12734,Gil,Frijda,40000,1986-03-03,Senior Engineer
12755,Rildo,Rodite,40196,1987-03-18,Senior Staff
12773,Jenwei,Lovengreen,65556,1985-03-05,Senior Engineer
12790,Gunilla,Perl,87760,1995-08-08,Senior Staff
12795,Masoud,Fordan,56969,1988-06-23,Senior Staff
12798,Lillian,Beeson,81145,1987-12-27,Senior Staff
12803,Gad,Boissier,91789,1985-03-16,Senior Staff
12815,Sushant,Junot,65073,1985-02-27,Senior Staff
12819,Mountaz,Gubsky,48455,1989-09-09,Senior Engineer
12848,Kazuhide,Smeets,40000,1997-05-11,Engineer
12863,Leif,Matheson,62803,1985-09-06,Senior Engineer
12872,Marl,Schmittgen,56040,1986-09-09,Senior Staff
12879,Baruch,Eugenio,40000,1990-06-11,Senior Engineer
12890,Neven,Casley,66803,1985-10-31,Senior Staff
12893,Licheng,Crouzet,50803,1987-03-18,Senior Staff
12895,Roddy,Serot,40000,1993-08-15,Senior Engineer
12905,Munehiro,Gecsei,58659,1987-07-19,Senior Engineer
12926,Heekeun,Luby,68314,1985-12-24,Senior Staff
12940,Odinaldo,Farrar,49760,1987-12-12,Senior Engineer
12941,Tommaso,Perelgut,67069,1986-11-06,Senior Engineer
12949,Geoff,Asrin,40000,1987-02-12,Senior Engineer
12977,Byong,Markovitch,61326,1987-08-24,Senior Engineer
12983,Elliott,Hambrick,57252,1999-06-28,Staff
13030,Yahiko,Kroll,51770,1993-11-25,Senior Staff
13046,Vivian,Stafford,40000,1987-04-19,Senior Staff
13047,Atilio,Chelton,52323,1992-02-26,Senior Engineer
13075,Rosella,Morrin,40000,1986-08-17,Senior Staff
13076,Deniz,Skafidas,50582,1995-01-28,Engineer
13096,Ibibia,Armand,52544,1994-04-22,Senior Engineer
13103,Srinidhi,Ellozy,40000,1988-06-19,Senior Engineer
